Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0032133~chromosome passenger complex	3	30.0	1.0280392188532524E-6	CDCA8, BIRC5, AURKB	9	3	12782	1420.2222222222222	4.317673724429927E-5	1.4392452889810947E-5	9.514444618385909E-4
GOTERM_CC_FAT	GO:0005819~spindle	5	50.0	1.134205885150394E-6	CDCA8, KNTC1, BUB1, BIRC5, AURKB	9	147	12782	48.30687830687831	4.763553958075928E-5	1.1909097633377996E-5	0.0010497006488474625
GOTERM_CC_FAT	GO:0044427~chromosomal part	6	60.0	1.2717809789313475E-6	CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	9	386	12782	22.075993091537132	5.341340853592946E-5	1.0682909953874109E-5	0.0011770248931841643
GOTERM_CC_FAT	GO:0015630~microtubule cytoskeleton	6	60.0	7.218444091703587E-6	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB	9	549	12782	15.521554341226473	3.031297929582122E-4	5.052801443028443E-5	0.006680458341423723
GOTERM_CC_FAT	GO:0000793~condensed chromosome	4	40.0	5.419926781825912E-5	KNTC1, BUB1, AURKB, RAD51	9	129	12782	44.037898363479755	0.0022738418354691925	3.251515466841104E-4	0.050150107602375815
GOTERM_CC_FAT	GO:0043228~non-membrane-bounded organelle	8	80.0	9.320837951089182E-5	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5, RAD51	9	2596	12782	4.376647834274953	0.003907281029711052	4.892470789272796E-4	0.08623101241520548
GOTERM_CC_FAT	GO:0043232~intracellular non-membrane-bounded organelle	8	80.0	9.320837951089182E-5	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5, RAD51	9	2596	12782	4.376647834274953	0.003907281029711052	4.892470789272796E-4	0.08623101241520548
SP_PIR_KEYWORDS	ubl conjugation	5	50.0	9.636269788284316E-5	CCNB1, CDCA8, BUB1, BIRC5, CDCA5	10	588	19235	16.356292517006803	0.003463213472778337	8.669300683943337E-4	0.08591580193333392
GOTERM_CC_FAT	GO:0044430~cytoskeletal part	6	60.0	1.050125339070521E-4	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB	9	952	12782	8.950980392156863	0.004401044913398766	4.899641528520737E-4	0.09714680176142743
SP_PIR_KEYWORDS	cytoskeleton	5	50.0	1.3065766897032803E-4	CCNB1, CDCA8, KNTC1, BIRC5, AURKB	10	636	19235	15.121855345911952	0.004692936992971353	9.403542686302613E-4	0.11647696140153485
SP_PIR_KEYWORDS	centromere	3	30.0	1.3562240155560784E-4	CDCA8, BIRC5, AURKB	10	38	19235	151.8552631578947	0.004870836382707022	8.13458557682889E-4	0.12090047864627973
SP_PIR_KEYWORDS	phosphoprotein	10	100.0	1.555514790053715E-4	CCNB1, CDCA8, FIGNL1, RRM2, KNTC1, BUB1, BIRC5, AURKB, CDCA5, RAD51	10	7263	19235	2.6483546743769795	0.0055846364375680135	7.997213126190728E-4	0.13865529744164773
GOTERM_CC_FAT	GO:0005856~cytoskeleton	6	60.0	6.183002713947606E-4	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB	9	1381	12782	6.17040791696838	0.025642152492196257	0.0025942932805731456	0.5707776388918728
SP_PIR_KEYWORDS	nucleus	8	80.0	6.319362235375675E-4	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5, RAD51	10	4283	19235	3.5928087788932994	0.022499910202463114	0.0028405698324348583	0.5622333052010653
GOTERM_CC_FAT	GO:0000779~condensed chromosome, centromeric region	3	30.0	7.206850423673379E-4	KNTC1, BUB1, AURKB	9	66	12782	64.55555555555554	0.029825846731766248	0.0027489133582178082	0.6650121494863992
GOTERM_BP_FAT	GO:0051726~regulation of cell cycle	4	40.0	0.001092758131758735	CCNB1, KNTC1, BUB1, BIRC5	10	331	13528	16.34803625377644	0.17685038421454102	0.019273573290920387	1.3352313687339135
UP_SEQ_FEATURE	mutagenesis site	6	60.0	0.0012137720028176447	CDCA8, RRM2, BUB1, BIRC5, AURKB, RAD51	10	2045	19113	5.607726161369193	0.045102572839980204	0.045102572839980204	1.091592586236978
GOTERM_BP_FAT	GO:0000075~cell cycle checkpoint	3	30.0	0.001562450825247303	KNTC1, BUB1, BIRC5	10	91	13528	44.597802197802196	0.24295588030919335	0.024985628139642113	1.9040955930801795
GOTERM_CC_FAT	GO:0005875~microtubule associated complex	3	30.0	0.0017112278543499066	CDCA8, BIRC5, AURKB	9	102	12782	41.77124183006536	0.06940688164177544	0.005976497133553416	1.5725984862851483
SP_PIR_KEYWORDS	chromosomal protein	3	30.0	0.001962417690286539	CDCA8, BIRC5, AURKB	10	145	19235	39.79655172413793	0.06827395176812523	0.00782659447690337	1.7367957623818153
GOTERM_BP_FAT	GO:0051329~interphase of mitotic cell cycle	3	30.0	0.0019959950498108212	CCNB1, BIRC5, CDCA5	10	103	13528	39.40194174757281	0.29927668273642505	0.029201982493216483	2.4265031576305773
GOTERM_BP_FAT	GO:0051325~interphase	3	30.0	0.0021123558935461626	CCNB1, BIRC5, CDCA5	10	106	13528	38.286792452830184	0.3136702155354999	0.028538478055843863	2.5662787286611644
GOTERM_BP_FAT	GO:0010564~regulation of cell cycle process	3	30.0	0.002438118334306955	KNTC1, BUB1, BIRC5	10	114	13528	35.6	0.3524213194852547	0.030560087629464827	2.956615018037412
GOTERM_CC_FAT	GO:0000228~nuclear chromosome	3	30.0	0.004251575799907061	BUB1, BIRC5, RAD51	9	162	12782	26.300411522633745	0.1638496660672233	0.013670836460557112	3.866481544559719
GOTERM_BP_FAT	GO:0007346~regulation of mitotic cell cycle	3	30.0	0.004287345102703497	KNTC1, BUB1, BIRC5	10	152	13528	26.7	0.5345674345140276	0.04970790240711631	5.145312400536328
GOTERM_BP_FAT	GO:0007096~regulation of exit from mitosis	2	20.0	0.007957518332727113	KNTC1, BIRC5	10	12	13528	225.46666666666667	0.7587940163990285	0.08504601119067956	9.355508607403639
GOTERM_BP_FAT	GO:0031577~spindle checkpoint	2	20.0	0.007957518332727113	BUB1, BIRC5	10	12	13528	225.46666666666667	0.7587940163990285	0.08504601119067956	9.355508607403639
UP_SEQ_FEATURE	nucleotide phosphate-binding region:ATP	4	40.0	0.008496193951208906	FIGNL1, BUB1, AURKB, RAD51	10	962	19113	7.947193347193348	0.2769194913162678	0.14965859286770455	7.421300470275427
GOTERM_BP_FAT	GO:0051303~establishment of chromosome localization	2	20.0	0.009938081715296757	BIRC5, CDCA5	10	15	13528	180.37333333333333	0.8309950623377311	0.09929553168392213	11.555495934973948
GOTERM_BP_FAT	GO:0050000~chromosome localization	2	20.0	0.009938081715296757	BIRC5, CDCA5	10	15	13528	180.37333333333333	0.8309950623377311	0.09929553168392213	11.555495934973948
GOTERM_CC_FAT	GO:0005815~microtubule organizing center	3	30.0	0.010099751003179098	CCNB1, BUB1, BIRC5	9	253	12782	16.840579710144926	0.3471097144339601	0.02999426832335994	8.967012804872798
SP_PIR_KEYWORDS	cytoplasm	6	60.0	0.010568963311110229	CCNB1, CDCA8, RRM2, KNTC1, BIRC5, AURKB	10	3332	19235	3.4636854741896754	0.3178513023856059	0.037528440011981745	9.041719192462006
GOTERM_CC_FAT	GO:0030496~midbody	2	20.0	0.011213527304933638	BIRC5, AURKB	9	18	12782	157.80246913580248	0.377261543762034	0.031081951672702113	9.910562711703886
GOTERM_BP_FAT	GO:0000086~G2/M transition of mitotic cell cycle	2	20.0	0.013888667346043089	CCNB1, BIRC5	10	21	13528	128.83809523809526	0.9170494872943104	0.12916797275483083	15.797960790028343
SP_PIR_KEYWORDS	Chromosome partition	2	20.0	0.014414631827486498	BUB1, BIRC5	10	31	19235	124.0967741935484	0.4070843595380117	0.0464071380715293	12.146872544468357
GOTERM_CC_FAT	GO:0005876~spindle microtubule	2	20.0	0.018011939196870302	KNTC1, BIRC5	9	29	12782	97.9463601532567	0.5339197303462595	0.046591993064806436	15.483191447065758
SP_PIR_KEYWORDS	atp-binding	4	40.0	0.020043572509534632	FIGNL1, BUB1, AURKB, RAD51	10	1326	19235	5.802413273001509	0.517559712247192	0.058933535532776804	16.522260362445195
GOTERM_CC_FAT	GO:0000922~spindle pole	2	20.0	0.021088581479610152	KNTC1, BUB1	9	34	12782	83.54248366013071	0.5914713080482793	0.051295983971205716	17.90243489226395
GOTERM_MF_FAT	GO:0005524~ATP binding	4	40.0	0.022544270459796796	FIGNL1, BUB1, AURKB, RAD51	7	1477	12983	5.022922913241126	0.7013612750542906	0.7013612750542906	19.946129563166192
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	4	40.0	0.023385553927500843	FIGNL1, BUB1, AURKB, RAD51	7	1497	12983	4.95581639469415	0.7146836654474342	0.4658498951113407	20.61583773715856
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	4	40.0	0.026934423209887183	FIGNL1, BUB1, AURKB, RAD51	7	1577	12983	4.70441163148836	0.7647488321649419	0.3826796467798197	23.38593584109516
GOTERM_BP_FAT	GO:0000910~cytokinesis	2	20.0	0.026956285968250542	BIRC5, AURKB	10	41	13528	65.99024390243903	0.992281044270032	0.22586113560184007	28.535027451658436
GOTERM_MF_FAT	GO:0001883~purine nucleoside binding	4	40.0	0.028056890976992314	FIGNL1, BUB1, AURKB, RAD51	7	1601	12983	4.633889533327385	0.7787084730898454	0.3141309646936846	24.243846143309145
GOTERM_BP_FAT	GO:0007093~mitotic cell cycle checkpoint	2	20.0	0.028254542949201312	KNTC1, BUB1	10	43	13528	62.92093023255814	0.9939137697877739	0.22515039000990722	29.69851755473165
GOTERM_MF_FAT	GO:0001882~nucleoside binding	4	40.0	0.028580335401348966	FIGNL1, BUB1, AURKB, RAD51	7	1612	12983	4.6022686990428925	0.7849372434835235	0.26461792178806887	24.640962555975253
SP_PIR_KEYWORDS	kinetochore	2	20.0	0.029100236404195772	KNTC1, BUB1	10	63	19235	61.06349206349207	0.6546350722697378	0.07852630739400113	23.156906579270508
GOTERM_CC_FAT	GO:0000794~condensed nuclear chromosome	2	20.0	0.030267961232598468	BUB1, RAD51	9	49	12782	57.96825396825397	0.724974308586087	0.06920493872812883	24.757688668332932
GOTERM_CC_FAT	GO:0000777~condensed chromosome kinetochore	2	20.0	0.03573936051232755	KNTC1, BUB1	9	58	12782	48.97318007662835	0.7831464886138936	0.07729814743901042	28.596448411940578
SP_PIR_KEYWORDS	nucleotide-binding	4	40.0	0.037769543267220804	FIGNL1, BUB1, AURKB, RAD51	10	1686	19235	4.563463819691578	0.749938074989462	0.09426031273658453	29.064831935903523
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	4	40.0	0.04048288990335909	FIGNL1, BUB1, AURKB, RAD51	7	1836	12983	4.040771864301275	0.8881092089820983	0.3058301866604647	33.181393288397
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	4	40.0	0.04048288990335909	FIGNL1, BUB1, AURKB, RAD51	7	1836	12983	4.040771864301275	0.8881092089820983	0.3058301866604647	33.181393288397
GOTERM_BP_FAT	GO:0006461~protein complex assembly	3	30.0	0.04207277225683532	RRM2, KNTC1, RAD51	10	505	13528	8.036435643564356	0.9995244588086939	0.30534228428925647	41.04879371772863
GOTERM_BP_FAT	GO:0070271~protein complex biogenesis	3	30.0	0.04207277225683532	RRM2, KNTC1, RAD51	10	505	13528	8.036435643564356	0.9995244588086939	0.30534228428925647	41.04879371772863
GOTERM_BP_FAT	GO:0051656~establishment of organelle localization	2	20.0	0.04499233054235242	BIRC5, CDCA5	10	69	13528	39.21159420289855	0.9997238017266495	0.3109712929419485	43.22012997536485
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	4	40.0	0.045439494017410806	FIGNL1, BUB1, AURKB, RAD51	7	1918	12983	3.868017279904662	0.9149677873652035	0.2967927262455555	36.47385562314332
GOTERM_CC_FAT	GO:0000776~kinetochore	2	20.0	0.047201463656080106	KNTC1, BUB1	9	77	12782	36.888888888888886	0.868766287233518	0.09655385148643236	36.077261097938106
KEGG_PATHWAY	hsa04115:p53 signaling pathway	2	20.0	0.05244238473586498	CCNB1, RRM2	5	68	5085	29.911764705882355	0.4470805224527489	0.4470805224527489	28.50670037145626
GOTERM_BP_FAT	GO:0007059~chromosome segregation	2	20.0	0.05263065438794883	BIRC5, CDCA5	10	81	13528	33.40246913580247	0.9999338636257841	0.34191799308902615	48.55810591307297
GOTERM_CC_FAT	GO:0031981~nuclear lumen	4	40.0	0.05266225913056969	CCNB1, CDCA8, BIRC5, RAD51	9	1450	12782	3.9178544061302683	0.8969131528863303	0.10255120472440404	39.38882544640088
GOTERM_BP_FAT	GO:0051640~organelle localization	2	20.0	0.059584695403350256	BIRC5, CDCA5	10	92	13528	29.408695652173915	0.9999821801302312	0.3659536279410287	53.01286216832843
KEGG_PATHWAY	hsa04914:Progesterone-mediated oocyte maturation	2	20.0	0.06597199449400548	CCNB1, BUB1	5	86	5085	23.651162790697676	0.5279816532558248	0.31296408627774397	34.63312301754894
GOTERM_MF_FAT	GO:0000166~nucleotide binding	4	40.0	0.06842920918335392	FIGNL1, BUB1, AURKB, RAD51	7	2245	12983	3.3046134266624243	0.9766417268706861	0.3747479971817832	49.92112100477606
GOTERM_BP_FAT	GO:0065003~macromolecular complex assembly	3	30.0	0.06904836725395039	RRM2, KNTC1, RAD51	10	665	13528	6.102857142857142	0.9999970553953331	0.3991568976704061	58.507027497331144
INTERPRO	IPR003593:ATPase, AAA+ type, core	2	20.0	0.07517691355020044	FIGNL1, RAD51	10	144	16659	23.1375	0.8878904649745636	0.8878904649745636	47.993321760092314
SMART	SM00382:AAA	2	20.0	0.07684422287002297	FIGNL1, RAD51	6	144	9079	21.016203703703702	0.3810580039516761	0.3810580039516761	31.79589598245316
GOTERM_BP_FAT	GO:0043933~macromolecular complex subunit organization	3	30.0	0.07749631658714769	RRM2, KNTC1, RAD51	10	710	13528	5.716056338028169	0.9999994188029718	0.4243396942233181	62.90626852368495
KEGG_PATHWAY	hsa04114:Oocyte meiosis	2	20.0	0.0837854682999736	CCNB1, BUB1	5	110	5085	18.490909090909092	0.618083050992176	0.27446843643914787	42.022114998286355
GOTERM_CC_FAT	GO:0070013~intracellular organelle lumen	4	40.0	0.08774903350822061	CCNB1, CDCA8, BIRC5, RAD51	9	1779	12782	3.193304603085379	0.9788747454622201	0.16082094826414117	57.25760616237701
GOTERM_CC_FAT	GO:0043233~organelle lumen	4	40.0	0.09275029728273813	CCNB1, CDCA8, BIRC5, RAD51	9	1820	12782	3.121367521367521	0.9832302321039589	0.16284567748635648	59.377879205273906
KEGG_PATHWAY	hsa04110:Cell cycle	2	20.0	0.09478872120309766	CCNB1, BUB1	5	125	5085	16.272000000000002	0.6656128943735684	0.2395645046069419	46.22567717599734
GOTERM_CC_FAT	GO:0031974~membrane-enclosed lumen	4	40.0	0.09725192826819185	CCNB1, CDCA8, BIRC5, RAD51	9	1856	12782	3.060823754789272	0.986391949358672	0.16393220186300805	61.205569809093916
